run,flow1(50000)_sender,flow1(50000)_receiver,flow2(50001)_sender,flow2(50001)_receiver,flow3(50002)_sender,flow3(50002)_receiver
1,300,198,300,250,300,234
2,300,157,300,161,300,159
3,300,254,300,272,300,220
4,300,248,300,267,300,243
5,300,230,300,282,300,287
6,300,237,300,293,300,203
7,300,175,300,244,300,226
8,300,212,300,227,300,216
9,300,213,300,218,300,192
10,300,263,300,210,300,178
