run,flow1(50000)_sender,flow1(50000)_receiver,flow2(50001)_sender,flow2(50001)_receiver,flow3(50002)_sender,flow3(50002)_receiver
1,300,158,300,157,300,157
2,300,158,300,157,300,156
3,300,157,300,157,300,157
4,300,155,300,158,300,158
5,300,155,300,153,300,163
6,300,159,300,157,300,156
7,300,155,300,163,300,153
8,300,153,300,163,300,155
9,300,154,300,163,300,154
10,300,154,300,154,300,163
