run,flow1(50000)_sender,flow1(50000)_receiver,flow2(50001)_sender,flow2(50001)_receiver,flow3(50002)_sender,flow3(50002)_receiver
1,300,300,300,300,300,300
2,245,245,237,237,254,254
3,202,202,215,215,194,194
4,195,195,246,246,185,185
5,267,267,170,170,260,260
6,258,258,250,250,241,241
7,246,246,259,259,251,251
8,262,262,254,254,244,244
9,278,278,189,189,200,200
10,258,258,181,180,180,180
