run,flow1(50000)_sender,flow1(50000)_receiver,flow2(50001)_sender,flow2(50001)_receiver,flow3(50002)_sender,flow3(50002)_receiver
1,300,242,300,237,300,243
2,300,297,300,294,300,295
3,300,294,300,295,300,295
4,300,292,300,293,300,287
5,300,300,300,300,300,300
6,300,300,300,300,300,300
7,300,300,300,300,300,300
8,300,300,300,300,300,300
9,300,300,300,300,300,300
10,300,300,300,300,300,300
